url,type
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,benign
parsippanysoccerclub.org/,benign
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,benign
btscene.eu/verified-search/torrent/franco+piersanti/,benign
signature-editions.com/,benign
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,benign
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,defacement
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,benign
halkbankparaf-para.com,phishing
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,benign
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,benign
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D%E3%81%B3%EF%BC%81%E3%82%A8%E3%83%AD%E3%82%A2%E3%83%8B%E3%83%A1+%23ero+%23douga+%23agesage,benign
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,benign
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,benign
http://www.aba-diagnostic.com/espace-prive/reset.html,defacement
msn.foxsports.com/nhl/player/yann-sauve/720461,benign
hallmark.businessgreetings.com/,benign
musicstack.com/records-cds/toni+tony+tone,benign
nudecelebsnow.com/tags/1/victoria+justus.htm,benign
http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,defacement
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,benign
http://www.designeremdoces.com/components/com_contact/ggdrives/,phishing
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,benign
facebook.com/people/Yui-Takeshita/100001611015714,benign
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,benign
padmapper.com/search/apartments/Quebec/Montreal-est/,benign
mrskin.com/christina-ricci-nude-c868.html,benign
lip-service.com/webzine/tag/post-apocalyptic-fashion/,benign
http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,defacement
http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,defacement
linkedin.com/pub/dir/elizabeth/scarborough,benign
cqgcr.ca/ang/producer01.php,benign
huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html,benign
http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/,benign
select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9,benign
startrekcostumes.net/,benign
en.wikipedia.org/wiki/Neil_Curtis,benign
music.carowinds.com/,benign
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
newjersey.craigslist.org/,benign
roverslands.net,phishing
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,benign
http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/,benign
acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html,benign
http://www.familienbund.org/index.php?option=com_content&view=article&id=291:stellungnahme-des-familienbundes-der-katholiken-zum-referentenentwurf-eines-gesetzes-zur-erweiterung-der-grosselternzeit-&catid=5:stellungnahmen&Itemid=8,defacement
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,defacement
youtube.com/watch?v=K_-bsYE-y08,benign
myspace.com/jking909,benign
http://www.academiedumeuble.ca/index.php?option=com_seminar&task=3&cid=516&sem_midx=0&sem_jidx=0&Itemid=69,defacement
corporacionrossenditotours.com,phishing
http://maslen.sk/index.php?option=com_contact&view=contact&id=37:iados-o-obchodnu-spolupracu&catid=29:dopytformular&Itemid=5,defacement
http://www.clinicatecma.es/index.php/densiometria,defacement
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,benign
idlebrain.com/news/functions/engagement-brahmini.html,benign
vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml,benign
archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149,benign
perezhilton.com/category/william-shatner/,benign
fsnaindia.com/,benign
actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/,benign
en.wikipedia.org/wiki/Kenji_Nojima,benign
alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0,benign
greenparty.ca/campaign/24048,benign
http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights,benign
randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter,benign
argentinawarez.com/musica-mp3-gratis/65991-ost-boat-rocked-soundtrack-2cd-2009-a.html,benign
192.com/atoz/people/gerrard/steven/,benign
users6.nofeehost.com/aldenh/493.html,benign
facebook.com/opalhilldrive,benign
scottss.com/,benign
http://drive-google-com.fanalav.com/6a7ec96d6a4b8b887e9f9ace81b40a99/,phishing
manta.com/ic/mt6fkz0/ca/residence-sault-au-recollet,benign
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,defacement
forum.exscn.net/archive/index.php/t-10778.html?pda=1,benign
superpages.com/bp/Kansas-City-KS/Kansas-City-Terminal-Railway-L2170949422.htm,benign
maxlapointe.com/?p=141,benign
http://rendeck.com/index.php/nl/vacatures/table/9/0/index.html?resetfilters=0,defacement
ca.ratemyteachers.com/louise-trichet/106184-s,benign
cardomain.com/ride/2424103/2006-pontiac-gto,benign
apps.facebook.com/ilike/artist/Les+Respectables,benign
cbssports.com/nba/players/playerpage/20626/paul-pierce,benign
detkreimeier-fotografie.de,phishing
http://listovka.info/xmap.html,defacement
home.comcast.net/~jcage89/350z/navbox/index.htm,benign
margaritawill.com/hotdogs/,benign
pipl.com/directory/name/Pallas/Tony,benign
newyorker.com/archive/1982/04/12/1982_04_12_039_TNY_CARDS_000335949,benign
youtube.com/watch?v=eMY1FT3Pqh8,benign
law.cornell.edu/wex/Joint_venture,benign
pitchfork.com/reviews/albums/13979-broken-bells/,benign
http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-1187-moi-ma-famille.html?top=3&period=recent,benign
hollywood.com/movie/Biutiful/6870447,benign
facebook.com/pages/The-Paul-Lynde-Halloween-Special-1976/280289980245,benign
hot-people.info/Crossett_AR_Dorothy-Moore_Eric--Newton_1051.html,benign
onlineradio7.com/listen/CFLO_1047,benign
http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%AD%9D%E5%B8%83%E8%B4%B4%E7%94%BB/,malware
http://www.jnpiraq.net/arabic/index.php?option=com_content&view=article&id=610&catid=5&Itemid=10,defacement
artistswithaids.org/artforms/music/catalogue/rileyl.html,benign
http://www.versverwerktegroenten.nl/bruine-bonen.html,defacement
mylife.com/dominicbouchard,benign
mmagearguide.com/ufc-117-t-shirts-silva-vs-sonnen/,benign
worldtraveltours.org/4-alternative-places-you-can-choose-at-montreal-travel/.html,benign
iptv.org/,benign
elliscountydivorcelawyer.com/ellis-county-post-divorce-modification.htm,benign
http://grantland.com/the-triangle/2015-mlb-over-under-bets-chicago-cubs-houston-astros-oakland-as-tampa-bay-rays/,benign
fanpix.net/gallery/doug-savant-pictures.htm,benign
chacha.com/question/what-time-does-metro-center-mall-close,benign
marcospecialties.com/storeitems.asp?game=Chicago%20Coin&Chicago%20Coin=RED%20BARON%20(Blue%20Max),benign
hdlns.com/g508zf1457/Kansas+City+Star+Obituaries+Obituaries+from+Kansas+City+Star+Kansas+City%2C+MO,benign
familytreemaker.genealogy.com/users/v/e/r/James-R-Verrier/GENE7-0008.html,benign
therainmakersmessageboard.yuku.com/,benign
tumblr.com/tagged/sebastien+lefebvre,benign
ussoccer.com/News/Soccer-Wire/2002/10/U-S-Soccer-Wire-Galaxy-Claims-2002-MLS-Cup-With-1-0-Double-OT-Win-Over-Revs-Will-Go-For-Rare-Double.aspx,benign
filmannex.com/movie/1984-olympics-fencing-men-saber/21938,benign
allaboutjazz.com/php/musician.php?id=3751,benign
info-pages.000webhostapp.com,phishing
skiracing.com/?q=node/514,benign
myptccash.com,phishing
ertx.com/movie/2008/mad-about-mambo,benign
classicbikepictures.co.uk/c319/p2499/for_sale/yamaha%C2%A0yfu1wyfu1-t_for_sale.html,benign
http://thenextweb.com/dd/2011/05/09/squarespace-to-begin-version-6-beta-testing/gtm.js/gtm.js,benign
http://ecoledecoiffurecarolinelaprise.com/formations/pose-ongles/108.html,defacement
mtlasm.blogspot.com/,benign
http://chinacxyy.com/piccodejs-000.asp?lm2=191&x=3&y=2&w=90&h=63&open=1&n=10&tj=0,malware
medicinenet.com/heel_spurs/city.htm,benign
music.yahoo.com/nothingface/,benign
http://9779.info/%E6%8A%98%E7%BA%B8%E6%89%87%E5%AD%90%E6%8B%BC%E8%B4%B4%E7%94%BB/,malware
espn.go.com/college-football/team/_/id/2306/kansas-state-wildcats,benign
bleacherreport.com/articles/811265-mlb-power-rankings-comparing-every-mlb-team-to-a-classic-80s-rock-band,benign
citiprepaid-salarysea-at.tk,phishing
famoushookups.com/site/relationship_detail.php?name=Martin-Brodeur&celebid=12150&relid=11371,benign
genealogybuff.com/ar/clark/webbbs_config.pl/noframes/read/10,benign
microlabsltd.com/,benign
tripadvisor.com/ShowUserReviews-g57417-d1013388-r21219909-Mulligan_s-Stratton_Mountain_Vermont.html,benign
http://www.smc-images.co.uk/images/index_hvoda_2311_10.html,phishing
flickr.com/people/sleepingelf/,benign
http://www.nabu-gaildorf.de/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=01&Itemid=33,defacement
subscene.com/Taking-Woodstock/subtitles-80048.aspx,benign
http://kccs.nichost.ru/index.php?option=com_content&view=article&id=107:-24052012-213&catid=17:news&Itemid=35,defacement
http://www.nubiafarias.com/v1/index.php?option=com_mailto&tmpl=component&link=b9f337d1ca40d09a113ab5ae6426a96e642fb2af,defacement
http://thenextweb.com/insider/2014/10/29/unbabel-integrates-mailchimp-offer-translation-service-promotional-emails/gtm.js/gtm.start,benign
tabs.ultimate-guitar.com/a/audioslave/audioslave_album_btab.htm,benign
sunjournal.com/section/news/5974,benign
http://www.elektro-vozila.si/motocikli/novice/volta-bcn-city-je-elektricni-mestni-supermoto-iz-spanije,defacement
ethicalsuperstore.com/products/green-and-blacks/organic-hot-chocolate-drink/?_$ja=tsid:6494%7Ccc:%7Cprd:12744%7Ccat:Groceries+%26+Everyday+%3E+Drinks+%3E+Chocolate,benign
lilliputreview.blogspot.com/2011/04/r-h-blyth-on-waka-and-haiku.html,benign
http://www.musimagen.com/lista_socios.php?pagina=15&letra=,defacement
basketball.wikia.com/wiki/Golden_State_Warriors,benign
ech.cwru.edu/ech-cgi/article.pl?id=PGS,benign
filmaffinity.com/es/search.php?stype=cast&stext=Elliott+Gould,benign
chicopeemasoniclodge.org/westover.htm,benign
filmcritic.com/features/2008/10/american-science-fiction-movies/,benign
geographic.org/geographic_names/v/ve_014.html,benign
paperbackswap.com/Sadie-Rose-Adventure-Hilda-Stahl/book/0891076352/,benign
baseball-almanac.com/players/player.php?p=hengeda01,benign
biographi.ca/EN/ShowBio.asp?BioId=41243,benign
deborahfrances-white.com/stand-up.html,benign
spcmoray.com/,benign
http://sexshop-bg.biz/products?page=shop.browse&category_id=276,defacement
edu.gov.on.ca/eng/sift/indexSec.asp,benign
benoitglazer.com/,benign
judgepedia.org/index.php/Alan_Gold,benign
http://mueblesjulianjimenez.es/index.php?page=shop.browse&category_id=14&option=com_virtuemart&Itemid=9,defacement
sbnation.com/ncaa-football/players/36729/brandon-smith,benign
isearch.com/searching.php?qloc=&showForm=name&qname=Robin+Kelly&refer=3338,benign
http://fischereiverein.org/bildergalerie/category/45-faenge-oktober-2010,defacement
ratemyteachers.com/amelia-high-school/15131-s,benign
http://www.expatsalon.ru/index.php/2009-03-04-07-22-09/category/7-.html?start=20,defacement
http://apoiojur.com.br/index.php?%2FTable%2FAdministrativo%2F,defacement
http://www.steffen-lemme.de/contact/berliner-buero/besuch-in-berlin,defacement
http://djsipke.nl/foto-album/1-cafedeknyp/detail/74-104.html?tmpl=component,defacement
carfloormatsforsale.com/door-sill/,benign
http://www.harley-davidson-dijon.com/component/adsmanager/1-/737-,defacement
facebook.com/pages/Liberman-Broadcasting/106123536086051?sk=info,benign
thefreelibrary.com/No+Catholic+schools+in+Quebec.-a030534573,benign
cngzhz.en.ec21.com/,benign
atlasshrugs2000.typepad.com/atlas_shrugs/2007/08/your-black-musl.html,benign
rotoworld.com/player/nhl/1413/player?r=1,benign
facebook.com/topic.php?uid=34012632110&topic=5794,benign
tomdegan.blogspot.com/,benign
http://www.smartphone.net.br/index.php?option=com_content&view=article&id=66&Itemid=60&lang=pt,defacement
http://www.annamodlo.com.ua/index.html,defacement
http://codecanyon.net/item/hide-my-joomla-hide-your-source-links/full_screen_preview/8988449,benign
cswisdom.com/,benign
http://www.aquamarinadivingtenerife.com/en/sites-of-interest.html,defacement
http://www.lafavoritacb.com/index.php?option=com_content&view=article&id=107:horarioinvierno&catid=43:articulos&Itemid=77,defacement
ibabuzz.com/outtakes/category/night-owl/crown-city-rockers/,benign
youtube.com/watch?v=ueziUAQR9LU,benign
en.wikipedia.org/wiki/Simonne_Monet-Chartrand,benign
http://www.sidecocarrelli.it/x.txt,defacement
http://www.metalsul.ind.br/site/index.php?option=com_morfeoshow&Itemid=,defacement
martindale.com/Brett-Donald-McIntosh/834737-lawyer.htm,benign
frillr.com/?q=taxonomy/term/1733,benign
bankingblog.celent.com/?p=2493,benign
en.wikipedia.org/wiki/Category:American_religious_leaders,benign
narrativemagazine.com/authors/saul-bellow,benign
benmeadowcroft.com/reports/corbato/,benign
spokeo.com/Mike+Burrows,benign
http://otomoto.pl/ciezarowe/EW4Hou_aN610rPsocimkJ_IuLBofatBy4b0MLqoh7Lf.B7/JOcK7gzdoyrcIT2176iLzhCz8UoPOGcT6Y1ax8FNTPf.l7,benign
youtube.com/watch?v=FXWq7qMYB2s,benign
cifstate.org/,benign
nchsband.com/,benign
tvguide.com/celebrities/peter-keleghan/169984,benign
arstechnica.com/apple/news/2011/07/how-charlie-miller-discovered-the-apple-battery-hackhow-a-security-researcher-discovered-the-apple-battery-hack.ars,benign
blog.metmuseum.org/penandparchment/tag/hours-of-jeanne-devreux/,benign
divacafe.net/,benign
archive.org/stream/lifeofmaryqueeno00headuoft/lifeofmaryqueeno00headuoft_djvu.txt,benign
http://buzzfil.net/article/5646/animaux/on-dirait-une-attaque-mais-la-realite-en-est-tout-autre-3.html?href=inner_website,benign
http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,malware
manta.com/c/mmq1m7y/coldwell-banker-heart-america,benign
superpages.com/bp/Milford-OH/Cliff-Riley-Insurance-L0125750056.htm,benign
ideas.repec.org/e/ppe73.html,benign
http://www.school91.kiev.ua/index.php?option=com_content&view=category&layout=blog&id=38&Itemid=57,defacement
flickr.com/photos/cornforthimages/5812399737/,benign
http://djkatrina.ru/sobytiya/meropriyatiya/klub-prime-otkryvaetsya-posle-remonta-i-razdaet-podarki.html,defacement
national.citysearch.com/profile/45753728/vacaville_ca/fentons_creamery.html,benign
http://yourlust.com/videos/tight-euro-teen-anna-gets-properly-fucked-on-the-floor.html,benign
nytimes.com/pages/books/index.html,benign
legendsofhockey.net/LegendsOfHockey/jsp/SearchPlayer.jsp?player=10372,benign
http://szgs.ru/information-for-you/interesting-articles/13-2008-08-04-06-37-10.html,defacement
http://www.sandroecicero.com.br/index.php?option=com_content&view=article&id=1&Itemid=3&vsig1_0=18,defacement
homegain.com/local_real_estate/ND/argusville.html,benign
http://9779.info/%E7%AE%80%E5%8D%95%E6%8A%98%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://noticias.uol.com.br/album/bbc/2015/04/01/obras-de-anel-rodoviario-de-r-68-bilhoes-afetam-rios-e-nascentes-em-sp.htm,benign
theglobeandmail.com/news/opinions/editorials/in-the-commons-the-kids-are-alright/article2011610/,benign
bw.edu/athletics/fb/staff/grabowski/,benign
appieid-enable.com,phishing
fadsplymouth.com/,benign
locatetv.com/tv/ellen-degeneres-show/1964142/episode-guide,benign
imdb.com/name/nm0769371/,benign
scotborders-folk.org.uk/labels.htm,benign
visa.ca/gvav/list2005.jsp?year=2005&curMonth=12,benign
autopostoajax.com.br,phishing
en.wikipedia.org/wiki/Party_of_One_(Peter_Elkas_album),benign
http://kienthuc.net.vn/diem-thi/diem-chuan-dai-hoc-bach-khoa-ha-noi-nam-2014-487293.html,benign
http://pikabu.ru/tag/%D0%BC%D0%B8%D0%BD%D0%B8%D0%BC%D0%B0%D0%BB%D0%B8%D0%B7%D0%BC/hot,benign
http://www.ekino-neureut.de/index.php?option=com_content&view=article&id=15&Itemid=15,defacement
http://www.rockabilly.it/gruppi/52-four-stars.html,defacement
http://www.rathgaelgym.org/squads/mag.1,defacement
absoluteastronomy.com/topics/Legion_of_Merit,benign
thaiairways.com/,benign
famouspeople.com/famous_biographies/Lizzie_Stanton.htm,benign
triclopsband.com/,benign
mp3raid.com/music/lo_key.html,benign
amtrakcalifornia.com/index.cfm/routes/san-joaquin/,benign
4martinique.com/,benign
http://apoiojur.com.br/index.php?%2FNoticias%2Fnoticias.html,defacement
http://extratorrent.cc/torrent/4189694/Linux+User+%26+Developer+-+50+Critical+Fixes+%28Issue+152%2C+2015%29.html,benign
http://www.graz4u.at/de/produkte/187-high-level-e-mail-security.html,defacement
dwaynemeisner.com/,benign
linkedin.com/pub/john-barkley/7/764/916,benign
flyershistory.com/cgi-bin/b-player.cgi?Bernie_Parent,benign
http://www.richpictures.co.uk/home/viewpost/232,defacement
topix.com/ca/montreal-qc-montreal-nord,benign
http://9779.info/%E5%B9%BC%E5%84%BF%E7%B2%BD%E5%8F%B6%E8%B4%B4%E7%94%BB/,malware
trssllc.com/,benign
allgame.com/game.php?id=39396,benign
renerichardcollections.com/media.html,benign
securityfirstinternationalholdings.com/,benign
factbites.com/topics/Leyte,benign
car-stuff.com/pontiacgrandprixparts.htm,benign
usa-people-search.com/Find-Steven-Schwartz-CO.aspx,benign
muhanovabeauty.ru,phishing
http://www.simmeurope.com/index.php?view=article&id=23:budget-economique-exploratoire-pour-lannee-2012&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=48,defacement
en.wordpress.com/tag/j-pop/,benign
pinoyexchange.com/forums/archive/index.php/t-194687.html,benign
classicflix.com/buster-keaton-shorts-collection-bluray-1920-1923-p-11169.html,benign
http://spplodz.nazwa.pl/archiwum/2006_08b.php,defacement
vodacom.co.za/,benign
http://www.bertilohlsson.com/de/component/user/login?return=aHR0cDovL3d3dy5iZXJ0aWxvaGxzc29uLmNvbS9iaWxkZXJnYWxlcmllL2tsYXNzaXNjaGUtZG9zZW4vcnVuZGUtZm9ybT9sYW5nPWRl,defacement
uwsuper.edu/alumni/halloffame/individuals.cfm,benign
